,Symbol,Name,Price (Intraday)
0,SHELL.PR,Shell plc,835.0
1,ULVR.PR,Unilever PLC,1270.0
2,DTE.PR,Deutsche Telekom AG,614.7
3,VOW.PR,Volkswagen AG,2649.0
4,HEIA.PR,Heineken N.V.,2233.0
5,EOAN.PR,E.ON SE,326.75
6,RWE.PR,RWE Aktiengesellschaft,842.2
7,NOKIA.PR,Nokia Oyj,88.89
8,ERBAG.PR,Erste Group Bank AG,1196.0
9,CEZ.PR,"CEZ, a. s.",907.5
10,PKN.PR,Orlen S.A.,381.9
11,PKO.PR,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,347.1
12,GEN.PR,Gen Digital Inc.,595.0
13,OMV.PR,OMV Aktiengesellschaft,990.4
14,MOL.PR,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,195.0
15,KGH.PR,KGHM Polska Miedz S.A.,756.6
16,KOMB.PR,"Komercní banka, a.s.",799.0
17,RBI.PR,Raiffeisen Bank International AG,440.0
18,ANDR.PR,Andritz AG,1412.0
19,VOE.PR,Voestalpine AG,615.0
20,VIG.PR,Vienna Insurance Group AG,735.0
21,WIE.PR,Wienerberger AG,799.4
22,UQA.PR,UNIQA Insurance Group AG,199.8
23,MONET.PR,"MONETA Money Bank, a.s.",110.0
24,TABAK.PR,Philip Morris CR a.s.,15360.0
0,CZG.PR,Colt CZ Group SE,665.0
1,ATS.PR,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,483.2
2,BVB.PR,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,139.0
3,WPS.PR,W.A.G payment solutions plc,20.8
4,FACC.PR,FACC AG,182.2
5,KOFOL.PR,Kofola CeskoSlovensko a.s.,302.0
6,GEV.PR,"GEVORKYAN, s.r.o.",258.0
7,PRIUA.PR,Primoco UAV SE,900.0
8,TMR.PR,"Tatry mountain resorts, a.s.",505.0
9,SABFG.PR,SAB Finance a.s.,1060.0
10,PEN.PR,Photon Energy N.V.,44.2
11,ENRGA.PR,"ENERGOAQUA, a.s.",3000.0
12,TOMA.PR,"TOMA, a.s.",1360.0
13,PVT.PR,"RMS Mezzanine, a.s.",1.11
14,MMCTE.PR,mmcité a.s.,336.0
15,KARIN.PR,KARO INVEST a.s.,165.0
16,EFORU.PR,E4U a.s.,216.0
17,PINK.PR,Pilulka Lékárny a.s.,152.0
18,KLIKY.PR,"M&T 1997, a.s.",32000.0
19,FIXED.PR,FIXED.zone a.s.,162.0
20,PRAB.PR,Prabos plus a.s.,282.0
21,ATOMT.PR,AtomTrace a.s.,41.0
22,EMAN.PR,eMan a.s.,77.0
23,HWIO.PR,HARDWARIO a.s.,9.5
24,COLOS.PR,COLOSEUM HOLDING a.s.,121.0
0,CZ0003541237.PR,,100.5
1,CZ0003558579.PR,,102.38
2,CZ0003562910.PR,,102.0
3,CZ0003552929.PR,,104.5
4,CZ0003561441.PR,,102.99
5,CZ0003704413.PR,J&T BANKA,101.5
6,CZ0003543092.PR,,104.9
7,CZ0003534596.PR,,96.59
8,CZ0003707275.PR,J T BANKA A.S,100.53
9,CZ0003533069.PR,,95.59
10,CZ0003559841.PR,,101.47
11,CZ0003529943.PR,,103.93
12,CZ0003561748.PR,,102.0
13,CZ0003562555.PR,,101.0
14,CZ0003556177.PR,,106.0
15,JUV2.PR,JUVENTUS F.C.,80.0
16,CTPNV.PR,CTP N.V.,401.0
17,CZ0003556094.PR,,102.95
18,CZ0003563009.PR,,103.89
19,CZ0003706517.PR,J&T BANKA,93.0
20,JTINV.PR,J&T ARCH INVESTMENTS SICAV a.s.,1130.0
21,BEZVA.PR,Bezvavlasy A.S.,720.0
22,CZ0003550378.PR,,103.94
23,JTINA.PR,J&T ARCH INVESTMENTS SICAV a.s.,1.65
24,JTINB.PR,J&T ARCH INVESTMENTS SICAV a.s.,1.49
0,DBK.PR,Deutsche Bank Aktiengesellschaft,366.0
1,LUCRO.PR,LUCROS SICAV A.S,74500.0
2,CZ0003707671.PR,,104.0
3,CZ0003527657.PR,J&T FINANCE GROUP,99.4
4,CZ0003546871.PR,,103.2
5,FTSHP.PR,FOOTSHOP A.S.,93.0
